,paper_number,number_drips,corner_0,corner_location_0,drip_x_0,drip_y_0,time_0,corner_1,corner_location_1,drip_x_1,drip_y_1,time_1,corner_2,corner_location_2,drip_x_2,drip_y_2,time_2,corner_3,corner_location_3,drip_x_3,drip_y_3,time_3,corner_4,corner_location_4,drip_x_4,drip_y_4,time_4,predicted_score
4489,4489,1,1,3,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283938546750815
4351,4351,1,1,3,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283938546750815
9671,9671,1,1,3,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22817830428418598
7369,7369,1,1,3,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22503680962003672
656,656,2,2,3,1,1,4,4.0,3.0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6723696915808185
6853,6853,2,1,2,1,2,5,1.0,3.0,3.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6451987273235749
3309,3309,2,1,3,2,3,14,3.0,3.0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415198451180172
6210,6210,2,1,3,1,3,19,3.0,3.0,3.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6391563523989948
5665,5665,3,1,2,1,1,14,2.0,3.0,3.0,3.0,18.0,2.0,3.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8047365729741623
1361,1361,3,2,3,1,1,4,3.0,3.0,2.0,2.0,18.0,4.0,3.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800746399217919
4495,4495,3,1,2,1,3,8,4.0,3.0,3.0,2.0,14.0,2.0,2.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7949489080575162
5032,5032,3,2,2,1,2,6,4.0,3.0,3.0,2.0,14.0,1.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793165760938088
3993,3993,4,1,1,1,2,16,4.0,3.0,3.0,3.0,19.0,1.0,2.0,1.0,2.0,18.0,4.0,2.0,3.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.9351251235784547
2540,2540,4,1,2,2,1,5,4.0,3.0,1.0,1.0,18.0,1.0,3.0,1.0,3.0,12.0,4.0,3.0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.9257454925979447
2866,2866,4,1,3,1,3,5,3.0,3.0,3.0,2.0,14.0,2.0,3.0,1.0,1.0,11.0,3.0,2.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9231366623761292
402,402,4,1,2,1,3,12,4.0,3.0,3.0,3.0,15.0,1.0,2.0,1.0,3.0,17.0,3.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9218696809127602
2104,2104,5,2,3,1,3,7,3.0,3.0,2.0,3.0,20.0,3.0,3.0,2.0,3.0,12.0,4.0,2.0,1.0,1.0,15.0,1.0,2.0,3.0,1.0,18.0,0.9376116880653608
4218,4218,5,1,3,1,2,3,3.0,3.0,3.0,3.0,18.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,20.0,1.0,1.0,2.0,3.0,3.0,0.930935137219349
1013,1013,5,1,3,1,1,12,4.0,3.0,3.0,3.0,18.0,4.0,3.0,1.0,3.0,20.0,2.0,3.0,3.0,2.0,11.0,3.0,2.0,3.0,3.0,16.0,0.9277486964365479
1394,1394,5,3,3,2,3,12,2.0,3.0,3.0,2.0,20.0,3.0,3.0,1.0,3.0,16.0,4.0,2.0,3.0,2.0,17.0,2.0,2.0,2.0,1.0,5.0,0.9253980018972364
