,number_drips,corner_1,drip_1,time_1,corner_2,drip_2,time_2,corner_3,drip_3,time_3,corner_4,drip_4,time_4,corner_5,drip_5,time_5
0,3,4_1,2_2,19.0,2_1,2_3,18.0,2_3,1_3,13.0,,,,,,
1,5,3_3,1_2,20.0,4_3,1_1,18.0,1_2,1_2,18.0,2_1,3_1,18.0,4_3,1_1,14.0
2,4,2_1,3_1,15.0,2_1,3_1,8.0,4_3,3_3,15.0,4_2,3_2,16.0,,,
3,4,4_3,3_3,15.0,3_3,2_3,18.0,2_3,1_1,12.0,1_3,1_1,4.0,,,
4,5,4_3,2_3,6.0,2_3,2_1,16.0,3_3,1_3,20.0,3_2,1_1,16.0,2_3,2_1,4.0
5,5,3_3,1_2,6.0,4_2,3_1,3.0,2_1,3_1,8.0,2_1,2_1,19.0,3_3,1_3,3.0
6,5,3_3,2_2,20.0,4_1,1_3,6.0,3_3,1_3,6.0,1_2,2_1,12.0,1_3,1_2,20.0
7,4,3_3,2_3,8.0,4_3,1_1,16.0,2_3,2_1,3.0,3_3,3_3,19.0,,,
8,4,1_2,2_3,11.0,2_2,1_3,18.0,3_3,2_2,19.0,2_1,3_1,19.0,,,
9,4,2_3,1_3,19.0,4_3,1_1,3.0,4_1,1_2,20.0,1_3,2_3,19.0,,,
10,4,2_3,1_1,9.0,1_3,1_2,5.0,3_3,1_2,5.0,1_3,1_1,20.0,,,
11,4,2_1,3_2,3.0,2_1,2_1,6.0,4_2,3_1,10.0,2_3,1_1,3.0,,,
12,5,4_1,1_1,19.0,4_1,1_2,14.0,2_3,2_3,20.0,4_2,2_2,7.0,2_1,1_1,11.0
13,5,2_1,1_1,20.0,2_3,2_1,4.0,2_1,1_1,12.0,2_3,3_2,15.0,1_2,2_1,3.0
14,3,2_1,3_1,13.0,2_3,1_1,4.0,4_1,2_2,15.0,,,,,,
15,4,3_3,2_2,9.0,2_1,2_1,20.0,1_3,1_3,4.0,4_3,1_1,14.0,,,
