,paper_number,number_drips,corner_0,corner_location_0,drip_x_0,drip_y_0,time_0,corner_1,corner_location_1,drip_x_1,drip_y_1,time_1,corner_2,corner_location_2,drip_x_2,drip_y_2,time_2,corner_3,corner_location_3,drip_x_3,drip_y_3,time_3,corner_4,corner_location_4,drip_x_4,drip_y_4,time_4,predicted_score
5853,5853,2,4,1,1,3,17,3.0,3.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966807176314851
1505,1505,2,4,1,3,1,19,4.0,3.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960212282503563
6674,6674,2,4,2,1,3,12,3.0,3.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950873158906728
788,788,2,3,1,3,2,17,4.0,3.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944654525379799
4380,4380,3,4,2,1,2,19,4.0,3.0,1.0,1.0,18.0,4.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938106408525499
2992,2992,3,3,3,2,3,14,4.0,3.0,2.0,3.0,20.0,4.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989707215437922
7937,7937,3,4,2,1,3,19,4.0,2.0,1.0,3.0,20.0,1.0,3.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869724681700355
5667,5667,3,1,1,2,3,14,4.0,3.0,1.0,3.0,20.0,3.0,3.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985497526002752
4564,4564,4,2,1,3,1,11,2.0,3.0,1.0,3.0,18.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.9999987088482243
655,655,4,3,1,3,3,17,2.0,2.0,1.0,1.0,20.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.9999963858025471
2969,2969,4,3,1,1,3,20,3.0,2.0,1.0,1.0,15.0,3.0,2.0,1.0,2.0,7.0,2.0,1.0,3.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.999994554072414
3290,3290,4,2,2,2,2,20,4.0,3.0,1.0,3.0,18.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.9999945073557516
251,251,5,4,2,1,3,8,1.0,3.0,1.0,1.0,20.0,1.0,3.0,2.0,2.0,6.0,2.0,3.0,2.0,1.0,20.0,4.0,3.0,2.0,1.0,19.0,0.9999998731757748
327,327,5,2,2,3,2,11,1.0,2.0,2.0,1.0,20.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,19.0,2.0,1.0,3.0,2.0,19.0,0.9999997602151964
8119,8119,5,2,1,3,3,14,3.0,3.0,3.0,1.0,18.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,18.0,4.0,3.0,3.0,3.0,19.0,0.9999996412472286
4869,4869,5,4,1,1,1,18,4.0,3.0,3.0,2.0,16.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,18.0,1.0,2.0,3.0,3.0,18.0,0.9999995433692166
