,paper_number,number_drips,corner_0,corner_location_0,drip_x_0,drip_y_0,time_0,corner_1,corner_location_1,drip_x_1,drip_y_1,time_1,corner_2,corner_location_2,drip_x_2,drip_y_2,time_2,corner_3,corner_location_3,drip_x_3,drip_y_3,time_3,corner_4,corner_location_4,drip_x_4,drip_y_4,time_4,predicted_score,hanna_score,iteration
4670,4670,2,4,3,1,2,11,1.0,3.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48943906929805714,,
2320,2320,2,2,3,1,2,14,1.0,3.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488801496311093,,
293,293,2,2,3,1,3,8,1.0,1.0,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48655368940705856,,
6485,6485,2,1,3,1,2,7,1.0,2.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864284563250379,,
8786,8786,2,3,3,1,1,5,1.0,3.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483183966869067,,
892,892,3,3,3,1,2,9,1.0,3.0,2.0,3.0,11.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6782717083892349,,
9333,9333,3,1,3,1,3,4,1.0,1.0,1.0,3.0,8.0,4.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497662613968712,,
3787,3787,3,2,1,1,1,9,1.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349747789978935,,
4734,4734,3,4,2,1,2,7,1.0,1.0,3.0,3.0,16.0,3.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6298514016626329,,
9280,9280,3,1,3,1,3,9,1.0,3.0,1.0,3.0,18.0,4.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629808356785901,,
4529,4529,4,4,2,1,2,14,1.0,3.0,1.0,2.0,17.0,4.0,3.0,1.0,2.0,7.0,4.0,1.0,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.9300342773271191,,
9463,9463,4,3,1,1,3,8,1.0,1.0,1.0,2.0,8.0,3.0,3.0,1.0,3.0,6.0,3.0,3.0,3.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.9213575002586326,,
1898,1898,4,1,1,1,2,15,1.0,1.0,1.0,3.0,15.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.9180555695455022,,
3051,3051,4,3,2,1,3,8,1.0,3.0,3.0,3.0,13.0,4.0,3.0,3.0,3.0,8.0,4.0,2.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.9153525102387507,,
5450,5450,4,4,2,1,3,9,1.0,3.0,2.0,3.0,16.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,1.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.9140290271012267,,
8348,8348,5,1,3,1,1,18,1.0,3.0,1.0,2.0,13.0,2.0,3.0,1.0,3.0,17.0,4.0,2.0,3.0,2.0,19.0,1.0,3.0,3.0,2.0,4.0,0.8725219320971649,,
1455,1455,5,3,2,1,2,11,3.0,2.0,3.0,3.0,14.0,4.0,2.0,1.0,3.0,15.0,4.0,3.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,3.0,0.8533712731825058,,
4239,4239,5,1,1,1,2,18,1.0,3.0,1.0,2.0,12.0,3.0,3.0,1.0,2.0,5.0,3.0,1.0,2.0,3.0,15.0,3.0,3.0,2.0,2.0,4.0,0.853002716834878,,
5956,5956,5,1,2,1,1,8,2.0,3.0,2.0,3.0,11.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,12.0,2.0,1.0,2.0,1.0,12.0,0.8504078252140632,,
7728,7728,5,2,1,1,2,3,3.0,2.0,3.0,1.0,14.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,19.0,3.0,1.0,2.0,1.0,6.0,0.8475777293818645,,
9,9,1,3,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
0,0,2,4,2,2,1,17,2.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
3,3,2,3,3,2,2,6,2.0,1.0,3.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0
8,8,3,4,1,1,1,19,3.0,3.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
